"filename", "language", "C++", "CMake", "Dart", "YAML", "Markdown", "Swift", "HTML", "JSON", "XML", "Groovy", "Properties", "Java", "comment", "blank", "total"
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\currency_picker_dropdown.dart", "Dart", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 80
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\currency_picker_icon_button.dart", "Dart", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 55
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\custom_amount_dialog.dart", "Dart", 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 162
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\custom_choice_chip.dart", "Dart", 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 141
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\error_message.dart", "Dart", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 72
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\future_success_dialog.dart", "Dart", 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 213
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\gradient_button.dart", "Dart", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 4, 98
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\member_chips.dart", "Dart", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 221
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\past_reaction_container.dart", "Dart", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 101
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\tap_or_hold_button.dart", "Dart", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 14, 95
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\version_not_supported_page.dart", "Dart", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 57
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\groups\boost_group.dart", "Dart", 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 172
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\groups\create_group.dart", "Dart", 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 202
